id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info,novedad
59_35,Pan de horno,Barra de pan rebanada,1 ud. (250 g),"0,50 €",,https://prod-mercadona.imgix.net/images/7474dd2f93517278a47d86c77c7ab673.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/6af5e6305c16706e41e1df253ef1de97.jpg?fit=crop&h=600&w=600,"Barra de pan rebanada, 1 Unidad (250 g), 0,50€ por Unidad",False
59_36,Pan de horno,3 Barras de pan aceite de oliva rebanadas,3 ud. (600 g),"1,51 €",,https://prod-mercadona.imgix.net/images/6d681fe3ac98a023bde89cb3445fa2e3.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/456f828fc6434bfd8db790f6e2cf3c82.jpg?fit=crop&h=600&w=600,"3 Barras de pan aceite de oliva rebanadas, 3 Unidades (600 g), 1,51€ por Unidad",False
59_37,Pan de horno,Barra pan de aceite de oliva rebanada,1 ud. (200 g),"0,57 €",,https://prod-mercadona.imgix.net/images/5e4d5dd9742aea6361147ac7927100e1.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/5bf2a729c11b512c7a580e5469802bb1.jpg?fit=crop&h=600&w=600,"Barra pan de aceite de oliva rebanada, 1 Unidad (200 g), 0,57€ por Unidad",False
59_38,Pan de horno,Barra de pan campesina masa madre rebanada,1 ud. (250 g),"0,65 €",,https://prod-mercadona.imgix.net/images/7675edec6d28958ad99dcd4570650669.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/b44ccae02db4f9ecbdb00af95f2d9e79.jpg?fit=crop&h=600&w=600,"Barra de pan campesina masa madre rebanada, 1 Unidad (250 g), 0,65€ por Unidad",False
59_39,Pan de horno,Barra pan de agua rebanada,1 ud. (240 g),"0,95 €",,https://prod-mercadona.imgix.net/images/255425d68e328c9865f3ad82b6273973.jpg?fit=crop&h=600&w=600,,"Barra pan de agua rebanada, 1 Unidad (240 g), 0,95€ por Unidad",False
59_40,Pan de horno,Hogaza de centeno 50% rebanado,1 ud. (500 g),"1,70 €",,https://prod-mercadona.imgix.net/images/865a27acdc61bb17caacca286ed7e226.jpg?fit=crop&h=600&w=600,,"Hogaza de centeno 50% rebanado, 1 Unidad (500 g), 1,70€ por Unidad",False
59_41,Pan de horno,Barra pan de pueblo rebanada,1 ud. (800 g),"1,60 €",,https://prod-mercadona.imgix.net/images/77cc7feb7d78d72b25961bc190cf2e40.jpg?fit=crop&h=600&w=600,,"Barra pan de pueblo rebanada, 1 Unidad (800 g), 1,60€ por Unidad",False
59_42,Pan de horno,Barra de pan espiga rebanado,1 ud. (400 g),"1,05 €",,https://prod-mercadona.imgix.net/images/206048f5888d401fc1680a7b676be85b.jpg?fit=crop&h=600&w=600,,"Barra de pan espiga rebanado, 1 Unidad (400 g), 1,05€ por Unidad",False
59_43,Pan de horno,Barra pan integral de espelta 100% rebanado,1 ud. (250 g),"1,25 €",,https://prod-mercadona.imgix.net/images/93ecc84a1e386398fb79f446a2c85a21.jpg?fit=crop&h=600&w=600,,"Barra pan integral de espelta 100% rebanado, 1 Unidad (250 g), 1,25€ por Unidad",False
60_1,Pan de molde y otras especialidades,Pan de molde blanco sin corteza Hacendado,Paquete 16 rebanadas (450 g),"1,13 €",,https://prod-mercadona.imgix.net/images/7931704a16106081eb2e0d81c340306c.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/874f958af7c0eaa4f795ec39ad642c5d.jpg?fit=crop&h=600&w=600,"Pan de molde blanco sin corteza Hacendado, Paquete, 16 rebanadas (450 g), 1,13€ por Unidad",False
