id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url
34,Yogures naturales y sabores,Postre lácteo sin lactosa sabor fresa Hacendado,4 ud. x 125 g,"1,45 €",,https://prod-mercadona.imgix.net/images/cd6cf73f90d45dce7412fd25c1509c46.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/cd6cf73f90d45dce7412fd25c1509c46.jpg?fit=crop&h=600&w=600
35,Bífidus,Bífidus desnatado con nueces y cereales Hacendado 0% m.g.,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/a33f37143476a71a09c5e90074d44ed4.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/a33f37143476a71a09c5e90074d44ed4.jpg?fit=crop&h=600&w=600
36,Bífidus,Bífidus desnatado probiótico con kiwi Hacendado 0% m.g. 0% sin azúcares añadidos,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/ccf5ee79a291a702ed8aff28a15560ae.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/ee1e9b2a5343fd41e411d8d9ea98cfdd.jpg?fit=crop&h=300&w=300
37,Bífidus,Bífidus cremoso desnatado Tropical Hacendado 0% m.g. 0% sin azúcares añadidos,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/125b62b3a8645ae4be88258d3a3424c4.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/125b62b3a8645ae4be88258d3a3424c4.jpg?fit=crop&h=600&w=600
38,Bífidus,Bífidus desnatado probiótico con frutos silvestres Hacendado 0% m.g. 0% sin azúcares añadidos,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/a39c6e7f1ed88ce6e162d74517cd7ef3.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/a39c6e7f1ed88ce6e162d74517cd7ef3.jpg?fit=crop&h=600&w=600
39,Bífidus,Bífidus probiótico con cereales y fibras Hacendado,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/38dfa421d4c979856977abbf11f61b3c.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/4416c6f55f275b74ac2480e4947b85b3.jpg?fit=crop&h=300&w=300
40,Bífidus,Bífidus desnatado probiótico con pera Hacendado 0% m.g. 0% azúcares añadidos,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/71cafc4927c9287cf0f3bd6f56e19562.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/d07b98e5b15b647459be7651f9865170.jpg?fit=crop&h=600&w=600
41,Bífidus,Bífidus probiótico con mango Hacendado,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/60c48a9728fdff8f4b2b3aa822115213.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/8dff2235dad1c301581eec7d794128a8.jpg?fit=crop&h=300&w=300
42,Bífidus,Bífidus probiótico con ciruelas pasas Hacendado,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/25decb781a3798d0ffa30f5c81c21225.jpg?fit=crop&h=300&w=300,
43,Bífidus,Bífidus cremoso con lima y limón Activia,4 ud. x 115 g,"2,39 €",,https://prod-mercadona.imgix.net/images/274a0cd8af0eba6b8021ea8bf4eea451.jpg?fit=crop&h=300&w=300,
44,Bífidus,Bífidus cremoso probiótico con coco Hacendado,4 ud. x 125 g,"1,23 €",,https://prod-mercadona.imgix.net/images/f6b0fab2c9355ac10e3642ecf08204fe.jpg?fit=crop&h=300&w=300,
45,Bífidus,Bífidus cremoso sabor melocotón Activia,4 ud. x 115 g,"2,39 €",,https://prod-mercadona.imgix.net/images/62f4d1643d055d53f523ce72a0958f71.jpg?fit=crop&h=300&w=300,
46,Bífidus,Bífidus desnatado natural Hacendado 0% m.g 0% sin azúcares añadidos,6 ud. x 125 g,"1,13 €",,https://prod-mercadona.imgix.net/images/280e4cbf57833fc0b503c851de81a2b1.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/828f78d0ee5cfeca9503753bed5a5183.jpg?fit=crop&h=600&w=600
47,Bífidus,Bífidus cremoso desnatado natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,6 ud. x 125 g,"1,37 €",,https://prod-mercadona.imgix.net/images/232daff5d8eb870e472387812f320f7c.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/bbdd93a5e349e55d42696b44546922bb.jpg?fit=crop&h=300&w=300
48,Bífidus,Bífidus desnatado natural edulcorado Activia zero m.g.,8 ud. x 120 g,"3,50 €","3,50 €",https://prod-mercadona.imgix.net/images/c15e1f2b38afc3f04c5bc0d60f0f3e6d.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/a821f9fdc4ee17fd9dd6a2bfc662d4fb.jpg?fit=crop&h=600&w=600
49,Bífidus,Bífidus natural Hacendado,6 ud. x 125 g,"1,18 €",,https://prod-mercadona.imgix.net/images/ff18da31e7d503f266b37e4e7f652f38.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/8b2186f58fd27bb029abf66af94f52f0.jpg?fit=crop&h=300&w=300
50,Bífidus,Bífidus desnatado natural Activia zero m.g.,8 ud. x 120 g,"3,50 €","3,50 €",https://prod-mercadona.imgix.net/images/5503c0081f32067decd11eee17bc72be.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/b533d3f4b9392e66ee40d9d05cead3e8.jpg?fit=crop&h=300&w=300
51,Bífidus,Bífidus natural probiótico azucarado Hacendado con cereales y fresas deshidratadas,Tarrina 170 g,"1,13 €",,https://prod-mercadona.imgix.net/images/57eb27c83b66f0ba50b171a8ee1fb023.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/7c6d1804fc7b9d018c2d7e3f133c0eb1.jpg?fit=crop&h=300&w=300
52,Bífidus,"Bífidus natural probiótico Hacendado con coco, almendras y chocolate",Tarrina 180 g,"1,18 €",,https://prod-mercadona.imgix.net/images/71555a4800b432e08ef75ff1dad021a6.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/0463b1a4f0abed5d755ca6901cc6653d.jpg?fit=crop&h=300&w=300
53,Postres de soja,Postre de soja Hacendado sabor chocolate,4 ud. x 100 g,"1,55 €",,https://prod-mercadona.imgix.net/images/468346ff431f9b07d6974bc7d86d7682.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/1567772404f3a3ad2b37e8a2bab1a757.jpg?fit=crop&h=300&w=300
54,Postres de soja,Postre de soja Hacendado sabor vainilla,4 ud. x 100 g,"1,45 €",,https://prod-mercadona.imgix.net/images/d16a7fe3564a44676e5a429ba11b2a97.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/477e928dac595c68f3ccecc27e4ec56d.jpg?fit=crop&h=600&w=600
55,Postres de soja,Postre de soja sabor Natural con coco Alpro,Bote 400 g,"2,30 €",,https://prod-mercadona.imgix.net/images/63d2e4c3b1355f5f30f64d832df92bfd.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/63d2e4c3b1355f5f30f64d832df92bfd.jpg?fit=crop&h=600&w=600
56,Postres de soja,Postre de soja sabor mango Alpro sin azúcares añadidos,Bote 400 g,"2,60 €",,https://prod-mercadona.imgix.net/images/3e72ea713a8ca99510c53314ab79ac20.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/270954b1f7ff01887709028bb308bb86.jpg?fit=crop&h=300&w=300
